Word,Part of Speech
a posteriori,Adjective/Adverb
a priori,Adjective/Adverb
a trifle,Adverb
a'man,Noun
a-bomb,Noun
a-horizon,Noun
a-line,Noun
a-list,Noun
a-ok,Adjective
a-okay,Adjective
a-one,Adjective
a-scan ultrasonography,Noun
a-team,Noun
a. a. michelson,Noun
a. a. milne,Noun
a. conan doyle,Noun
a. e. burnside,Noun
a. e. housman,Noun
a. e. kennelly,Noun
a. e. w. mason,Noun
a. noam chomsky,Noun
a. testudineus,Noun
a.d.,Adverb
a.e.,Noun
a.k.a.,Adverb
a.m.,Adjective/Adverb
aa,Noun
aaa,Noun
aachen,Noun
aah,Verb
aaland islands,Noun
aalborg,Noun
aalii,Noun
aalst,Noun
aalto,Noun
aar,Noun
aardvark,Noun
aardwolf,Noun
aare,Noun
aare river,Noun
aarhus,Noun
aaron,Noun
aaron burr,Noun
aaron copland,Noun
aaron montgomery ward,Noun
aaron's rod,Noun
aarp,Noun
aas,Noun
aave,Noun
ab,Noun
ab initio,Adverb
aba,Noun
aba transit number,Noun
abaca,Noun
abacinate,Verb
aback,Adverb
abactinal,Adjective
abacus,Noun
abadan,Noun
abaft,Adverb
abalone,Noun
abamp,Noun
abampere,Noun
abandon,Noun/Verb
abandoned,Adjective
abandoned infant,Noun
abandoned person,Noun
abandoned ship,Noun
abandonment,Noun
abarticulation,Noun
abase,Verb
abasement,Noun
abash,Verb
abashed,Adjective
abashment,Noun
abasia,Noun
abasia trepidans,Noun
abasic,Adjective
abatable,Adjective
abatable nuisance,Noun
abate,Verb
abatement,Noun
abatement of a nuisance,Noun
abatic,Adjective
abatis,Noun
abator,Noun
abattis,Noun
abattoir,Noun
abaxial,Adjective
abaxially,Adverb
abaya,Noun
abb,Noun
abbacy,Noun
abbatial,Adjective
abbe,Noun
abbe condenser,Noun
abbess,Noun
abbey,Noun
abbot,Noun
abbott lawrence lowell,Noun
abbreviate,Verb
abbreviated,Adjective
abbreviation,Noun
abbreviator,Noun
abc,Noun
abc's,Noun
abcoulomb,Noun
abcs,Noun
abdias,Noun
abdicable,Adjective
abdicate,Verb
abdication,Noun
abdicator,Noun
abdomen,Noun
abdominal,Adjective/Noun
abdominal actinomycosis,Noun
abdominal aorta,Noun
abdominal aortic aneurysm,Noun
abdominal breathing,Noun
abdominal cavity,Noun
abdominal delivery,Noun
abdominal external oblique muscle,Noun
abdominal muscle,Noun
abdominal nerve plexus,Noun
abdominal pregnancy,Noun
abdominal wall,Noun
abdominocentesis,Noun
abdominoplasty,Noun
abdominous,Adjective
abdominousness,Noun
abdominovesical,Adjective
abduce,Verb
abducens,Noun
abducens muscle,Noun
abducens nerve,Noun
abducent,Adjective/Noun
abducent nerve,Noun
abduct,Verb
abducting,Adjective
abduction,Noun
abductor,Noun
abductor muscle,Noun
abeam,Adverb
abecedarian,Adjective/Noun
abecedarius,Noun
abed,Adverb
abel,Noun
abel janszoon tasman,Noun
abel tasman,Noun
abelard,Noun
abele,Noun
abelia,Noun
abelian group,Noun
abelmoschus,Noun
abelmoschus esculentus,Noun
abelmoschus moschatus,Noun
abelmosk,Noun
abenaki,Noun
aberdare,Noun
aberdeen,Noun
aberdeen angus,Noun
aberdonian,Adjective
aberrance,Noun
aberrancy,Noun
aberrant,Adjective/Noun
aberrate,Verb
aberration,Noun
abet,Verb
abetalipoproteinemia,Noun
abetment,Noun
abettal,Noun
abetter,Noun
abettor,Noun
abeyance,Noun
abeyant,Adjective
abfarad,Noun
abhenry,Noun
abhor,Verb
abhorrence,Noun
abhorrent,Adjective
abhorrer,Noun
abidance,Noun
abide,Verb
abide by,Verb
abiding,Adjective
abidjan,Noun
abience,Noun
abient,Adjective
abies,Noun
abies alba,Noun
abies amabilis,Noun
abies balsamea,Noun
abies bracteata,Noun
abies concolor,Noun
abies fraseri,Noun
abies grandis,Noun
abies lasiocarpa,Noun
abies lowiana,Noun
abies venusta,Noun
abila,Noun
abilene,Noun
ability,Noun
abiogenesis,Noun
abiogenetic,Adjective
abiogenist,Noun
abiotrophy,Noun
abject,Adjective
abjection,Noun
abjectly,Adverb
abjuration,Noun
abjure,Verb
abjurer,Noun
abkhas,Noun
abkhasian,Noun
abkhaz,Adjective/Noun
abkhazia,Noun
abkhazian,Adjective/Noun
ablactate,Verb
ablactation,Noun
ablate,Verb
ablated,Adjective
ablation,Noun
ablative,Adjective/Noun
ablative absolute,Noun
ablative case,Noun
ablaut,Noun
ablaze,Adjective
able,Adjective
able seaman,Noun
able-bodied,Adjective
able-bodied seaman,Noun
able-bodiedism,Noun
able-bodism,Noun
ableism,Noun
ablepharia,Noun
ablism,Noun
abloom,Adjective
abls,Noun
ablution,Noun
ablutionary,Adjective
ably,Adverb
abm,Noun
abnaki,Adjective/Noun
abnegate,Verb
abnegation,Noun
abnegator,Noun
abney level,Noun
abnormal,Adjective
abnormal psychology,Noun
abnormalcy,Noun
abnormality,Noun
abnormally,Adverb
abo,Noun
abo antibodies,Noun
abo blood group system,Noun
abo group,Noun
abo system,Noun
aboard,Adverb
abocclusion,Noun
abode,Noun
abohm,Noun
abolish,Verb
abolishable,Adjective
abolishment,Noun
abolition,Noun
abolitionary,Adjective
abolitionism,Noun
abolitionist,Noun
abomasal,Adjective
abomasum,Noun
abominable,Adjective
abominable snowman,Noun
abominably,Adverb
abominate,Verb
abomination,Noun
abominator,Noun
abor,Noun
aborad,Adverb
aboral,Adjective
aboriginal,Adjective/Noun
aboriginal australian,Noun
aborigine,Noun
abort,Noun/Verb
aborticide,Noun
