term,aliases,type,source,code
hydroxychloroquine,,Medication,manual,
alectinib,,Medication,manual,
brigatinib,,Medication,manual,
diltiazem,,Medication,manual,
methylprednisolone,,Medication,manual,
vedolizumab,,Medication,manual,
ketamine,,Medication,manual,
dexmedetomidine,,Medication,manual,
triheptanoin,,Medication,manual,
prednisone,,Medication,manual,
insulin,,Medication,manual,
aspirin,acetylsalicylic acid,Medication,manual,
heparin,,Medication,manual,
warfarin,,Medication,manual,
